method,artifact,artifact_path,artifact_sha256,decision,approved_by,decision_date,disagreements_or_required_changes,notes
Data dictionary,data_dictionary,notebooks/final-deliverables/September/Gate 2/data_dictionary.csv,ff63a03ace0bee921a17b9535ca1e55cde62d8b7b987f6c51de540972fbefa32,pending,,,,
Target views,target_analysis,notebooks/final-deliverables/September/Gate 2/target_analysis.ipynb,18b2b4fc9926a41be137abf1f5329c8f867db3f82610a4f02907995d6b95d54f,pending,,,,
Rare-level rule,categorical_analysis,notebooks/final-deliverables/September/Gate 2/categorical_analysis_method.ipynb,98ac02eb9c2fb13e36bb06e9439ae92ff9416931de79d0208f9f7203c9b79289,pending,,,,
Continuous-bin rule,bin_inventory,notebooks/final-deliverables/September/Gate 2/continuous_analysis_evidence/bin_inventory.csv,d6e02276a07f252a8439af158c05a508e52e0be1610cb76c9bc3477474b25b0e,pending,,,,
Correlation methods,continuous_analysis,notebooks/liam-stapley/continuous_analysis.ipynb,dfd2d8d959e60ff9109ddb1e45715852b3398f3db9da35f4c37f7f5f219a1cc1,pending,,,,
Findings-register format,findings_register,notebooks/final-deliverables/September/Gate 2/findings_register.csv,ad503980844e6ead8b27204a845fa538cfc36804ccf00750e3ecebf8a2ae8b82,pending,,,,
